ID;Motorway;SR;NR;VR;UR;OR;RR;BR;MR;CR;Green frogs;Brown frogs;Common toad;Fire-bellied toad;Tree frog;Common newt;Great crested newt
Integer;Categorical;Numerical;Numerical;Categorical;Categorical;Numerical;Ordinal;Ordinal;Categorical;Categorical;Label 1;Label 2;Label 3;Label 4;Label 5;Label 6;Label 7
1;A1;600;1;4;0;50;0;0;0;1;0;0;0;0;0;0;0
2;A1;700;1;1;3;75;1;1;0;1;0;1;1;0;0;1;0
3;A1;200;1;1;3;75;1;1;0;1;0;1;1;0;0;1;0
4;A1;300;1;0;3;25;0;0;0;1;0;0;1;0;0;0;0
5;A1;600;2;4;0;99;0;5;0;1;0;1;1;1;0;1;1
6;A1;200;1;1;1;50;0;0;0;1;0;0;0;0;0;0;0
7;A1;500;1;0;1;25;0;0;0;2;0;0;1;0;0;0;0
8;A1;700;1;2;0;100;1;1;0;1;1;1;0;1;0;0;0
9;A1;750;2;1;0;50;1;0;0;1;0;1;1;0;0;0;0
10;A1;200;1;4;0;75;1;0;0;1;0;1;1;0;0;0;0
11;A1;200;1;4;0;100;2;1;0;1;1;0;0;0;0;0;0
12;A1;300;1;2;0;100;2;1;0;1;0;1;1;0;0;0;0
13;A1;7000;1;1;3;50;1;5;0;1;1;0;1;0;0;0;0
14;A1;1700;1;1;0;100;2;2;2;1;1;1;1;0;0;0;0
15;A1;8000;1;3;0;100;9;9;0;1;0;1;1;0;0;0;0
16;A1;30000;1;3;0;100;2;10;0;1;1;1;1;1;1;0;0
17;A1;300;1;4;0;100;5;10;0;1;0;1;1;0;1;0;0
18;A1;300;1;1;0;75;0;5;0;1;0;1;1;0;0;0;0
19;A1;1600;3;0;3;75;2;1;0;1;1;1;1;1;0;0;0
20;A1;3800;6;2;3;25;0;0;0;1;1;0;1;0;1;0;0
21;A1;7000;6;1;3;50;0;0;0;1;1;0;1;0;0;0;0
22;A1;2500;1;3;0;100;0;1;0;1;1;0;1;0;0;1;0
23;A1;800;1;0;3;100;2;1;0;1;0;1;1;0;0;0;0
24;A1;1700;1;3;0;100;0;0;0;1;0;1;1;0;0;0;0
25;A1;300;1;2;0;100;5;5;2;1;1;0;0;0;0;1;0
26;A1;4500;1;1;3;100;9;9;0;1;1;1;1;0;1;0;0
27;A1;1000;1;4;0;100;5;9;0;1;0;1;0;0;0;0;0
28;A1;7000;1;4;0;100;5;5;0;1;0;0;0;1;1;0;1
29;A1;30000;1;3;1;100;5;5;0;1;1;1;1;0;0;1;1
30;A1;7000;1;3;0;100;0;1;0;1;0;1;1;0;1;0;0
31;A1;3300;1;3;0;100;5;5;0;1;0;1;0;0;1;0;0
32;A1;2100;1;3;0;50;0;1;0;1;0;0;0;0;1;0;0
33;A1;500;1;0;3;100;2;1;0;1;1;1;0;0;0;0;0
34;A1;400;2;2;0;100;1;5;0;1;0;1;0;0;0;0;0
35;A1;300;1;1;0;100;2;2;0;1;0;1;1;0;0;0;0
36;A1;1100;1;0;3;100;2;2;0;1;0;1;1;0;0;0;0
37;A1;1000;1;2;0;100;1;1;0;1;0;0;0;1;0;0;0
38;A1;400;1;1;1;75;2;0;0;1;0;0;1;0;1;0;1
39;A1;100;1;2;0;100;1;1;0;1;0;1;0;0;0;0;0
40;A1;100;1;1;3;100;2;1;0;1;1;0;0;0;0;0;0
41;A1;80000;1;4;0;100;5;5;0;1;1;0;0;1;1;0;0
42;A1;200;1;4;0;100;5;5;0;1;0;0;1;1;1;0;0
43;A1;100;1;4;0;100;5;5;0;1;0;0;1;0;1;0;0
44;A1;2500;1;3;0;75;0;2;0;1;0;1;0;0;0;0;0
45;A1;31000;6;0;3;100;5;5;0;1;1;1;1;0;0;0;0
46;A1;500;1;4;0;100;5;5;0;1;1;1;1;1;1;0;0
47;A1;25000;5;0;3;75;0;0;0;1;1;0;0;1;0;0;0
48;A1;40000;1;1;3;100;5;0;0;1;1;1;0;1;0;1;0
49;A1;1900;7;4;0;100;5;5;0;1;1;1;0;0;1;1;0
50;A1;30;1;2;0;75;0;1;0;1;0;1;1;0;0;1;0
51;A1;4300;1;3;0;100;5;5;0;1;1;1;1;0;1;0;1
52;A1;4000;1;3;0;100;5;5;0;1;1;1;1;0;0;0;0
53;A1;300;1;4;0;99;2;2;0;1;0;1;0;0;0;0;0
54;A1;400;1;2;0;100;0;1;0;1;0;1;0;0;0;1;0
55;A1;1000;1;1;0;100;5;5;0;1;1;1;1;1;1;1;0
56;A1;1500;2;2;1;100;5;0;0;1;0;1;1;0;0;0;0
